episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,19,0.38,-0.55183,-0.5437,0.55288,-0.55026,-0.55036,-1e-05,0.84401,0.82831,0.86242,0.84487,0.83017,0.86186,0.52171,0.00831,-0.67701,1.0,0.0,0.0,0.0,-0.5969,-0.5969,-0.5969,-0.5969,0.5969,0.5969,-0.5969,-0.5969,-0.5969,-0.5969,0.0,0.0,255.0,255.0
1,20,0.4,-0.58326,-0.57518,0.5843,-0.58166,-0.58179,-1e-05,0.84403,0.82837,0.86248,0.84489,0.8302,0.86191,0.52171,0.00831,-0.75372,1.0,0.0,0.0,0.0,-0.62832,-0.62832,-0.62832,-0.62832,0.62832,0.62832,-0.62832,-0.62832,-0.62832,-0.62832,0.0,0.0,255.0,255.0
1,21,0.42,-0.6147,-0.60666,0.61572,-0.61307,-0.61321,-1e-05,0.84399,0.82832,0.86244,0.84485,0.83016,0.86182,0.52171,0.00831,-0.83436,1.0,0.0,0.0,0.0,-0.65974,-0.65974,-0.65974,-0.65974,0.65974,0.65974,-0.65974,-0.65974,-0.65974,-0.65974,0.0,0.0,255.0,255.0
1,22,0.44,-0.64613,-0.63815,0.64714,-0.64447,-0.64464,-1e-05,0.84394,0.82825,0.8624,0.8448,0.8301,0.8617,0.52171,0.00831,-0.91892,1.0,0.0,0.0,0.0,-0.69115,-0.69115,-0.69115,-0.69115,0.69115,0.69115,-0.69115,-0.69115,-0.69115,-0.69115,0.0,0.0,255.0,255.0
1,23,0.46,-0.67757,-0.66964,0.67857,-0.67588,-0.67607,-1e-05,0.84396,0.82827,0.86242,0.84481,0.8301,0.86173,0.52171,0.00831,-1.00741,1.0,0.0,0.0,0.0,-0.72257,-0.72257,-0.72257,-0.72257,0.72257,0.72257,-0.72257,-0.72257,-0.72257,-0.72257,0.0,0.0,255.0,255.0
1,24,0.48,-0.709,-0.70114,0.70999,-0.70728,-0.70749,-1e-05,0.84398,0.8283,0.86245,0.84483,0.83012,0.86175,0.52171,0.00831,-1.09982,1.0,0.0,0.0,0.0,-0.75398,-0.75398,-0.75398,-0.75398,0.75398,0.75398,-0.75398,-0.75398,-0.75398,-0.75398,0.0,0.0,255.0,255.0
1,25,0.5,-0.74042,-0.73264,0.74142,-0.73868,-0.73892,-1e-05,0.844,0.82834,0.8625,0.84484,0.83016,0.86178,0.52171,0.00831,-1.19616,1.0,0.0,0.0,0.0,-0.7854,-0.7854,-0.7854,-0.7854,0.7854,0.7854,-0.7854,-0.7854,-0.7854,-0.7854,0.0,0.0,255.0,255.0
1,26,0.52,-0.77185,-0.76415,0.77284,-0.77009,-0.77034,-1e-05,0.84396,0.82831,0.86248,0.84481,0.83013,0.86172,0.52171,0.00831,-1.29641,1.0,0.0,0.0,0.0,-0.81682,-0.81682,-0.81682,-0.81682,0.81682,0.81682,-0.81682,-0.81682,-0.81682,-0.81682,0.0,0.0,255.0,255.0
1,27,0.54,-0.80327,-0.79566,0.80427,-0.80149,-0.80177,-1e-05,0.84395,0.82827,0.86245,0.84479,0.83008,0.86165,0.52171,0.00831,-1.4006,1.0,0.0,0.0,0.0,-0.84823,-0.84823,-0.84823,-0.84823,0.84823,0.84823,-0.84823,-0.84823,-0.84823,-0.84823,0.0,0.0,255.0,255.0
1,28,0.56,-0.83469,-0.82718,0.83569,-0.83289,-0.83319,-1e-05,0.84395,0.8283,0.86249,0.84479,0.8301,0.86167,0.52171,0.00831,-1.5087,1.0,0.0,0.0,0.0,-0.87965,-0.87965,-0.87965,-0.87965,0.87965,0.87965,-0.87965,-0.87965,-0.87965,-0.87965,0.0,0.0,255.0,255.0
1,29,0.58,-0.86611,-0.8587,0.86712,-0.86429,-0.86461,-1e-05,0.84404,0.82838,0.86258,0.84487,0.83016,0.86178,0.52171,0.00831,-1.62073,1.0,0.0,0.0,0.0,-0.91106,-0.91106,-0.91106,-0.91106,0.91106,0.91106,-0.91106,-0.91106,-0.91106,-0.91106,0.0,0.0,255.0,255.0
1,30,0.6,-0.89752,-0.89022,0.89855,-0.89569,-0.89603,-1e-05,0.84404,0.8284,0.86261,0.84487,0.83017,0.8618,0.52171,0.00831,-1.73669,1.0,0.0,0.0,0.0,-0.94248,-0.94248,-0.94248,-0.94248,0.94248,0.94248,-0.94248,-0.94248,-0.94248,-0.94248,0.0,0.0,255.0,255.0
1,31,0.62,-0.92893,-0.92175,0.92998,-0.9271,-0.92746,-1e-05,0.84402,0.82839,0.86261,0.84485,0.83016,0.86174,0.52171,0.00831,-1.85656,1.0,0.0,0.0,0.0,-0.9739,-0.9739,-0.9739,-0.9739,0.9739,0.9739,-0.9739,-0.9739,-0.9739,-0.9739,0.0,0.0,255.0,255.0
1,32,0.64,-0.96034,-0.95329,0.96141,-0.9585,-0.95888,-1e-05,0.84401,0.82837,0.86261,0.84484,0.83014,0.86168,0.52171,0.00831,-1.98037,1.0,0.0,0.0,0.0,-1.00531,-1.00531,-1.00531,-1.00531,1.00531,1.00531,-1.00531,-1.00531,-1.00531,-1.00531,0.0,0.0,255.0,255.0
1,33,0.66,-0.99175,-0.98482,0.99284,-0.9899,-0.9903,-1e-05,0.84403,0.8284,0.86266,0.84486,0.83016,0.86171,0.52171,0.00831,-2.10809,1.0,0.0,0.0,0.0,-1.03673,-1.03673,-1.03673,-1.03673,1.03673,1.03673,-1.03673,-1.03673,-1.03673,-1.03673,0.0,0.0,255.0,255.0
1,34,0.68,-1.02315,-1.01636,1.02426,-1.0213,-1.02171,-1e-05,0.84398,0.82833,0.8626,0.8448,0.83009,0.86163,0.52171,0.00831,-2.23974,1.0,0.0,0.0,0.0,-1.06814,-1.06814,-1.06814,-1.06814,1.06814,1.06814,-1.06814,-1.06814,-1.06814,-1.06814,0.0,0.0,255.0,255.0
1,35,0.7,-1.05455,-1.04791,1.05569,-1.0527,-1.05313,-1e-05,0.84404,0.82838,0.86266,0.84486,0.83013,0.86165,0.52171,0.00831,-2.37532,1.0,0.0,0.0,0.0,-1.09956,-1.09956,-1.09956,-1.09956,1.09956,1.09956,-1.09956,-1.09956,-1.09956,-1.09956,0.0,0.0,255.0,255.0
1,36,0.72,-1.08595,-1.07946,1.08713,-1.0841,-1.08455,-1e-05,0.84402,0.82838,0.86268,0.84484,0.83013,0.86162,0.52171,0.00831,-2.51482,1.0,0.0,0.0,0.0,-1.13098,-1.13098,-1.13098,-1.13098,1.13098,1.13098,-1.13098,-1.13098,-1.13098,-1.13098,0.0,0.0,255.0,255.0
1,37,0.74,-1.11734,-1.11101,1.11856,-1.1155,-1.11597,-1e-05,0.84405,0.82841,0.86272,0.84486,0.83014,0.86164,0.52171,0.00831,-2.65824,1.0,0.0,0.0,0.0,-1.16239,-1.16239,-1.16239,-1.16239,1.16239,1.16239,-1.16239,-1.16239,-1.16239,-1.16239,0.0,0.0,255.0,255.0
1,38,0.76,-1.14874,-1.14256,1.14999,-1.1469,-1.14738,-1e-05,0.84399,0.82837,0.86269,0.8448,0.8301,0.86157,0.52171,0.00831,-2.80558,1.0,0.0,0.0,0.0,-1.19381,-1.19381,-1.19381,-1.19381,1.19381,1.19381,-1.19381,-1.19381,-1.19381,-1.19381,0.0,0.0,255.0,255.0
1,39,0.78,-1.18013,-1.17412,1.18142,-1.1783,-1.1788,-1e-05,0.84398,0.82832,0.86267,0.84479,0.83006,0.86151,0.52171,0.00831,-2.95685,1.0,0.0,0.0,0.0,-1.22522,-1.22522,-1.22522,-1.22522,1.22522,1.22522,-1.22522,-1.22522,-1.22522,-1.22522,0.0,0.0,255.0,255.0
